,Unnamed: 0,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes,duration
0,0,0.016,523.2511306,-35,0,0.0,stim_min_1_a,p05,0,0,0,0,0.235416667
1,1,0.266,493.8833013,-35,0,0.0,stim_min_1_a,p05,0,0,0,0,0.235416667
2,2,0.513,523.2511306,-35,0,0.0,stim_min_1_a,p05,0,0,0,0,0.472916667
3,3,1.012,391.995436,-35,0,0.0,stim_min_1_a,p05,0,0,0,1,0.472916667
4,4,1.512,415.3046976,-35,0,0.0,stim_min_1_a,p05,0,0,0,0,0.472916667
5,5,2.01,523.2511306,-35,0,0.0,stim_min_1_a,p05,0,0,0,1,0.235416667
6,6,2.26,493.8833013,-35,0,0.0,stim_min_1_a,p05,0,0,0,0,0.235416667
7,7,2.51,523.2511306,-35,0,0.0,stim_min_1_a,p05,0,0,0,0,0.472916667
8,8,3.007,587.3295358,-35,0,0.0,stim_min_1_a,p05,0,0,0,1,0.472916667
9,9,3.504,391.995436,-35,0,0.0,stim_min_1_a,p05,0,0,0,0,0.472916667
10,10,4.004,523.2511306,1,0,0.0,stim_min_1_a,p05,1,0,1,1,0.235416667
11,11,4.255,493.8833013,1,0,0.0,stim_min_1_a,p05,0,0,0,0,0.235416667
12,12,4.505,523.2511306,1,1,4.52,stim_min_1_a,p05,0,0,0,0,0.472916667
13,13,5.009,587.3295358,1,0,0.0,stim_min_1_a,p05,0,0,0,1,0.472916667
14,14,5.509,349.2282314,1,0,0.0,stim_min_1_a,p05,0,0,0,0,0.235416667
15,15,5.759,391.995436,1,0,0.0,stim_min_1_a,p05,0,0,0,0,0.235416667
16,16,6.005,415.3046976,1,0,0.0,stim_min_1_a,p05,0,0,0,1,0.235416667
17,17,6.255,391.995436,1,0,0.0,stim_min_1_a,p05,0,0,0,0,0.235416667
18,18,6.505,349.2282314,1,0,0.0,stim_min_1_a,p05,0,0,0,0,0.472916667
19,19,7.001,311.1269837,1,0,0.0,stim_min_1_a,p05,0,0,0,1,0.947916667
20,20,8.014,261.6255653,1,0,0.0,stim_min_1_a,p05,1,1,0,1,0.947916667
21,21,9.01,391.995436,35,0,0.0,stim_min_1_a,p05,0,0,1,1,1.422916667
22,22,10.503,415.3046976,35,0,0.0,stim_min_1_a,p05,0,0,0,0,0.472916667
23,23,11.013,391.995436,35,0,0.0,stim_min_1_a,p05,0,0,0,1,0.472916667
24,24,11.509,349.2282314,35,0,0.0,stim_min_1_a,p05,0,0,0,0,0.472916667
25,25,12.006,311.1269837,35,0,0.0,stim_min_1_a,p05,0,0,0,1,0.472916667
26,26,12.506,349.2282314,35,0,0.0,stim_min_1_a,p05,0,0,0,0,0.472916667
27,27,13.002,391.995436,35,0,0.0,stim_min_1_a,p05,1,0,0,1,0.947916667
28,28,14.0,246.9416506,35,0,0.0,stim_min_1_a,p05,0,0,0,1,0.472916667
29,29,14.513,261.6255653,35,0,0.0,stim_min_1_a,p05,0,0,0,0,1.422916667
30,30,16.005,391.995436,1,0,0.0,stim_min_1_a,p05,0,1,1,1,0.947916667
31,31,17.001,415.3046976,1,0,0.0,stim_min_1_a,p05,0,0,0,1,0.947916667
32,32,18.013,391.995436,1,0,0.0,stim_min_1_a,p05,1,0,0,1,0.947916667
33,33,19.01,369.9944227,1,0,0.0,stim_min_1_a,p05,0,0,0,1,0.947916667
34,34,20.006,493.8833013,1,0,0.0,stim_min_1_a,p05,0,0,0,1,0.947916667
35,35,21.002,523.2511306,1,0,0.0,stim_min_1_a,p05,0,0,0,1,0.947916667
36,36,22.015,349.2282314,1,0,0.0,stim_min_1_a,p05,0,0,0,1,0.947916667
